experiment,scenario,label_cs,description,repetition,seed,draws,tickets_sold_per_draw,prize_pool_share,jackpot_cap,jackpot_share,class11_share,class12_share,total_ticket_sales,total_prize_pool,total_actual_payout,total_actual_upper_tier_payout,jackpot_hits,jackpot_cap_hits,cap_reach_count,total_overflow_to_class2,total_overflow_to_class3,max_jackpot_fund_observed,final_jackpot_carryover,average_jackpot_available,average_total_payout,payout_std_dev,upper_tier_payout_std_dev,average_rollover_length,longest_rollover_length,average_time_to_cap
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,163,360588,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8660595000.0,5005595000.0,67,157,9,633800000.0,0.0,120000000.0,28699999.999999996,55258599.99999999,8660595.0,16547792.98489605,16547792.98489605,14.353846153846154,67,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,164,360589,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8789550000.0,5134550000.0,71,84,10,333399999.99999994,0.0,120000000.0,0.0,49933299.99999999,8789550.0,17448887.550428536,17448887.550428536,14.292307692307693,47,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,165,360590,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8684340000.0,5029340000.0,60,145,8,585700000.0,0.0,120000000.0,61499999.99999999,54184599.99999999,8684340.0,16575153.044976687,16575153.044976687,15.932203389830509,79,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,166,360591,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8695930000.0,5040930000.0,80,105,8,421699999.99999994,0.0,120000000.0,40999999.99999999,47863499.99999999,8695930.0,16204253.613946553,16204253.613946553,12.777777777777779,76,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,167,360592,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8695540000.0,5040540000.0,65,134,12,536199999.99999994,0.0,120000000.0,57399999.99999999,56201699.99999999,8695540.0,17434838.026445784,17434838.026445784,15.327868852459016,89,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,168,360593,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8586750000.0,4931750000.0,54,174,13,699100000.0,0.0,120000000.0,120000000.0,60090399.99999999,8586750.0,17025024.707397636,17025024.707397636,18.192307692307693,73,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,169,360594,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8710155000.0,5055155000.0,64,158,11,635700000.0,0.0,120000000.0,24599999.999999996,56036499.99999999,8710155.0,16803430.664628427,16803430.664628427,15.096774193548388,67,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,170,360595,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8670650000.0,5015650000.0,73,117,8,470899999.99999994,0.0,120000000.0,106599999.99999999,51841399.99999999,8670650.0,16560454.38167383,16560454.38167383,13.434782608695652,75,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,171,360596,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8723465000.0,5068465000.0,66,111,9,445199999.99999994,0.0,120000000.0,32799999.999999996,50591399.99999999,8723465.0,16790137.970510397,16790137.970510397,15.064516129032258,59,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,172,360597,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8677350000.0,5022350000.0,49,225,13,908200000.0,0.0,120000000.0,0.0,65931599.99999999,8677350.0,17339811.17046838,17339811.17046838,20.67391304347826,67,30
