experiment,scenario,label_cs,description,repetition,seed,draws,tickets_sold_per_draw,prize_pool_share,jackpot_cap,total_ticket_sales,total_prize_pool,total_actual_payout,total_actual_upper_tier_payout,jackpot_hits,jackpot_cap_hits,cap_reach_count,total_overflow_to_class2,total_overflow_to_class3,max_jackpot_fund_observed,final_jackpot_carryover,average_jackpot_available,average_total_payout,payout_std_dev,upper_tier_payout_std_dev,average_rollover_length,longest_rollover_length,average_time_to_cap
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,38,250463,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22622100000.0,12234600000.0,178,153,32,1089000000.0,0.0,90000000.0,9000000.0,43704000.0,22622100.0,21485118.724130895,21485118.724130895,5.748251748251748,24,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,39,250464,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22686450000.0,12298950000.0,178,136,26,990000000.0,0.0,90000000.0,9000000.0,42669000.0,22686450.0,21502861.295592733,21502861.295592733,5.48,22,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,40,250465,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22678375000.0,12290875000.0,170,198,34,1476000000.0,0.0,90000000.0,0.0,46800000.0,22678375.0,21369238.759765755,21369238.759765755,5.928571428571429,54,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,41,250466,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22601150000.0,12213650000.0,174,166,28,1242000000.0,0.0,90000000.0,45000000.0,44451000.0,22601150.0,21287678.858379558,21287678.858379558,5.696551724137931,25,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,42,250467,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22633650000.0,12246150000.0,166,200,33,1503000000.0,0.0,90000000.0,18000000.0,47700000.0,22633650.0,21704744.07076711,21704744.07076711,6.2706766917293235,39,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,43,250468,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22680400000.0,12292900000.0,150,183,39,1296000000.0,0.0,90000000.0,0.0,47367000.0,22680400.0,22501337.645571206,22501337.645571206,6.538461538461538,23,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,44,250469,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22611350000.0,12223850000.0,157,229,36,1737000000.0,0.0,90000000.0,18000000.0,49536000.0,22611350.0,21547788.13886706,21547788.13886706,6.690476190476191,26,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,45,250470,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22593487500.0,12205987500.0,163,200,29,1539000000.0,0.0,90000000.0,36000000.0,47241000.0,22593487.5,21198867.16297816,21198867.16297816,6.154411764705882,46,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,46,250471,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22647487500.0,12259987500.0,179,173,33,1260000000.0,0.0,90000000.0,18000000.0,45027000.0,22647487.5,21435964.670235716,21435964.670235716,5.701388888888889,32,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,47,250472,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22673550000.0,12286050000.0,180,154,29,1125000000.0,0.0,90000000.0,0.0,43983000.0,22673550.0,21515263.718985643,21515263.718985643,5.694444444444445,42,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,48,250473,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22628950000.0,12241450000.0,173,161,30,1179000000.0,0.0,90000000.0,27000000.0,44010000.0,22628950.0,21352148.706804663,21352148.706804663,5.405228758169935,28,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,49,250474,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22691687500.0,12304187500.0,188,143,31,1008000000.0,0.0,90000000.0,18000000.0,42498000.0,22691687.5,21380741.563579917,21380741.563579917,5.205128205128205,26,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,50,250475,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22566887500.0,12179387500.0,156,202,34,1512000000.0,0.0,90000000.0,90000000.0,47736000.0,22566887.5,21334159.228068814,21334159.228068814,6.2518518518518515,30,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,51,250476,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22587437500.0,12199937500.0,165,179,33,1314000000.0,0.0,90000000.0,9000000.0,45990000.0,22587437.5,21681481.063106455,21681481.063106455,5.964285714285714,26,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,52,250477,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22609737500.0,12222237500.0,156,187,39,1332000000.0,0.0,90000000.0,45000000.0,47205000.0,22609737.5,22354926.282306183,22354926.282306183,6.345864661654136,35,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,53,250478,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22653400000.0,12265900000.0,157,193,43,1350000000.0,0.0,90000000.0,18000000.0,47907000.0,22653400.0,22609053.682982843,22609053.682982843,6.386363636363637,20,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,54,250479,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22666700000.0,12279200000.0,166,197,31,1494000000.0,0.0,90000000.0,0.0,46449000.0,22666700.0,21174481.247718915,21174481.247718915,5.791666666666667,34,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,55,250480,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22654737500.0,12267237500.0,166,167,30,1233000000.0,0.0,90000000.0,0.0,45459000.0,22654737.5,21642967.16516346,21642967.16516346,6,30,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,56,250481,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22623850000.0,12236350000.0,162,178,32,1314000000.0,0.0,90000000.0,63000000.0,45603000.0,22623850.0,21413658.227344062,21413658.227344062,5.943262411347518,24,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,57,250482,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22583550000.0,12196050000.0,171,185,30,1395000000.0,0.0,90000000.0,90000000.0,45837000.0,22583550.0,20902086.304900285,20902086.304900285,5.9640287769784175,32,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,58,250483,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22652187500.0,12264687500.0,160,165,33,1188000000.0,0.0,90000000.0,0.0,45873000.0,22652187.5,22185406.07857097,22185406.07857097,6.043165467625899,26,10
